0.0, 1778.84094389, 463.66345542, 2413.05401455, 1441.92478426, 1163.40508928, 892.510861568, 210.156436411, 160.24728088, 2214.8825857, 673.144461346, 570.13540921, 960.837459238, 900.467519685, 500.470999364, 366.758132506, 1412.54635429, 830.863382844, 1259.6026704, 819.09274835, 1150.11644496, 314.25102402, 722.983401933, 2152.47889823, 1033.34837052, 2458.18420425, 1310.96148493, 1002.85644337, 1338.96171359, 1168.25613418, 571.113447467, 1585.88157659, 660.412565617, 792.525401654, 2680.45365068, 879.311694703, 1224.28517458, 367.980991012, 1423.10345085, 282.988596596, 795.43155472, 1913.29199972, 1359.21592897, 695.234828601, 2740.72106399, 653.167377515, 899.224777301, 1476.08404418, 
1777.35710948, 0.0, 1343.29826314, 754.896404995, 909.203377277, 2576.66291358, 2439.61328342, 1883.6041269, 1846.20006661, 923.763347053, 1601.98627515, 1746.82292909, 1550.0415076, 1297.61256761, 1817.73691641, 1444.46308558, 2825.80542134, 2377.96642607, 2672.86111608, 1989.45595224, 1793.84084447, 1468.19511553, 1427.7376372, 1194.65757476, 1396.26456494, 737.00153603, 2724.21930923, 2412.25120297, 526.097590074, 2530.03956892, 2237.81801778, 1688.88565776, 1923.02080848, 1006.01611588, 1289.53287799, 2292.57014038, 2637.54299889, 2059.25706375, 1506.86615167, 1681.42361111, 1047.83253301, 713.754796986, 2691.73278056, 2296.4220204, 1446.55213553, 2009.31746103, 1864.96236976, 1010.64470989, 
463.601939672, 1344.80136006, 0.0, 1959.58788177, 969.027752923, 1351.85827269, 1106.32655293, 673.376854172, 519.163087569, 1793.9502058, 502.141245128, 584.438752684, 623.173168695, 476.91171061, 564.589671319, 480.771668456, 1601.00015907, 1044.67969558, 1448.05523244, 835.519317188, 866.973126939, 344.726174143, 346.971188261, 1748.08493399, 616.177150441, 1889.23312853, 1499.41404697, 1191.30962678, 885.494959437, 1332.12538774, 904.531908653, 1212.75873896, 724.531237573, 339.059890241, 2259.52127078, 1067.76549948, 1412.73835799, 732.219463334, 1005.93223077, 348.135016504, 514.323227352, 1492.35961982, 1547.66911238, 963.134668536, 2319.78806271, 735.702870238, 767.817197566, 1058.62015828, 
2412.63396763, 755.573078223, 1959.04356061, 0.0, 1182.84282291, 2920.29795991, 2813.92604689, 2637.99659986, 2468.19511553, 552.542526644, 2047.73932733, 2185.929795, 1713.22414599, 1711.71048576, 2280.36703154, 2198.85555854, 3165.37794281, 2752.27918953, 3012.43363756, 2246.0592639, 1957.02348286, 2131.19196393, 1875.95256204, 1018.52680347, 1528.25996182, 163.761756343, 3063.79183071, 2808.84509465, 1141.84226617, 2844.28810745, 2794.30128052, 1590.80905015, 2366.6655482, 1621.76079197, 536.215377197, 2689.16341068, 2993.82046349, 2681.25086992, 1498.94677583, 2274.45406327, 1802.22376322, 649.445364074, 3005.98007635, 2829.75609938, 693.234634733, 2471.94757616, 2005.97759087, 1086.47560745, 
1416.02354748, 911.645987433, 962.432519089, 1183.01494273, 0.0, 1879.56645689, 1773.19392249, 1666.94876919, 1399.01661795, 837.879906347, 936.380910483, 1081.03115307, 672.492021594, 536.406138153, 1159.06356876, 1316.09711783, 2124.64519705, 1711.54706514, 1971.70089179, 1205.32651813, 916.291358467, 1297.14778195, 754.648477889, 792.014634534, 487.528458801, 1081.18152489, 2023.05970632, 1768.11297025, 394.086037541, 1803.55536169, 1672.99843912, 780.790806689, 1257.22841108, 673.549595363, 1303.45034996, 1648.43128629, 1953.0883391, 1612.77327905, 598.772543347, 1153.15060049, 949.803149606, 536.289320369, 1965.24733059, 1668.31516444, 1363.71838463, 1350.64411338, 965.244845105, 102.549858824, 
1158.85913764, 2571.84417999, 1350.6521912, 2919.45600195, 1879.39620119, 0.0, 286.573908375, 1217.45009147, 998.666537421, 2574.32034419, 1039.8261652, 827.053134693, 1207.4323451, 1372.05283644, 845.242533604, 1477.75180446, 254.99830987, 332.32546926, 102.055247355, 722.858506323, 1287.9819355, 1315.95358109, 1194.56871868, 2375.65181838, 1398.68232025, 2817.62196274, 153.414061879, 184.194305257, 2112.537158, 113.117518691, 628.100642249, 1723.74706713, 652.629270063, 1566.79429631, 3039.89140917, 288.205629126, 87.3517408335, 829.231662093, 1678.29997813, 1003.09939951, 1861.13783007, 2272.72975821, 199.813712917, 460.797691482, 2996.57562336, 649.272001511, 1037.09026784, 1835.52180267, 
895.090173387, 2437.38256084, 1114.15458721, 2837.29271057, 1779.04848187, 289.229648851, 0.0, 963.857944604, 734.897573173, 2492.15767418, 905.364546051, 692.591515549, 1125.27029647, 1237.59121729, 667.192346695, 1241.25482184, 538.370292492, 67.1080887616, 385.427229977, 696.891404199, 1205.81926549, 1079.45597709, 1060.10709954, 2293.48914837, 1316.51965024, 2735.45929273, 436.785423129, 112.53840074, 1978.07553885, 314.582214865, 374.508495387, 1641.58501849, 518.167650919, 1432.33329854, 2957.72811779, 128.603331544, 350.109734153, 575.639515231, 1596.13792949, 766.601795514, 1624.64022608, 2190.5670882, 485.040488547, 207.205544619, 2914.41357472, 471.222435974, 954.927597829, 1753.35913267, 
207.201195021, 1883.60226279, 669.208074843, 2638.5284936, 1674.05477014, 1233.91456395, 969.829943132, 0.0, 268.603853496, 2447.01257158, 905.274447228, 802.265395093, 1192.96682375, 1132.59750557, 675.391339577, 441.438250616, 1483.05645033, 908.182464408, 1330.11214507, 1043.28968822, 1382.24643084, 460.77594349, 955.113387815, 2384.60888412, 1265.4783564, 2538.52314981, 1381.47033822, 1054.16616957, 1534.78498071, 1259.26712996, 619.622653702, 1818.01156248, 835.110454943, 1084.92777181, 2912.58363656, 1003.02980593, 1294.79464925, 455.445821403, 1655.2340581, 517.534473674, 870.111672831, 2145.42136423, 1429.72540364, 767.843916527, 2972.8504285, 812.975970333, 1131.35476318, 1708.21340869, 
161.872166547, 1846.96870278, 519.827333373, 2469.21789251, 1405.96976159, 1000.81399626, 729.919768552, 269.611096198, 0.0, 2178.9281844, 637.189438678, 534.180386543, 924.88243657, 864.512497017, 407.305088284, 525.92360614, 1249.95526127, 668.272911199, 1097.01157739, 775.204679671, 1114.16080092, 382.378782908, 687.028379265, 2116.5232542, 997.39396922, 2422.22918158, 1148.37039191, 840.265971725, 1395.12559155, 1005.66566253, 408.522975821, 1549.92593255, 567.024825022, 848.689900978, 2644.49862801, 716.721223057, 1061.69408156, 213.957985365, 1387.14842818, 249.449465124, 968.820836316, 1877.33697705, 1196.62483596, 532.644978327, 2704.76666269, 503.041611986, 863.269133262, 1440.12902151, 
2240.30598803, 925.327959715, 1786.71495964, 552.280308001, 831.822158594, 2569.27729559, 2462.90476119, 2437.23094627, 2169.29879504, 0.0, 1696.71679889, 1834.90788793, 1362.20161755, 1360.68982144, 1929.34636722, 2140.37955838, 2814.35665712, 2401.25790384, 2661.41235187, 1895.03673546, 1557.91365923, 2121.42960113, 1524.93189772, 550.552274716, 1177.23991887, 450.446890161, 2712.77054502, 2457.82380896, 964.506656128, 2493.26620039, 2443.27937346, 1122.8345214, 2015.64426251, 1497.83203591, 475.011557504, 2338.14212499, 2642.7991778, 2383.05607751, 1147.92549014, 1923.43215621, 1778.59425952, 339.762661059, 2654.95941203, 2478.73481369, 535.27897081, 2120.92691183, 1654.95568381, 735.454943132, 
